# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: illegal.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             177   N   00000f84   0000bfcd   00000f86   x06_t1     00000f9a
             178   N   00000f86   00008082   00000f78   ---        --------
             182   N   00000f78   00038663   00000f7c   x07_t2     00000075
             183   N   00000f7c   00728023   00000f80   ---        --------
             185   N   00000f80   00000305   00000f84   ---        --------
             186   N   00000f84   0000bfcd   00000f86   x06_t1     00000f9b
             187   N   00000f86   00008082   00000f78   ---        --------
             191   N   00000f78   00038663   00000f7c   x07_t2     00000063
             192   N   00000f7c   00728023   00000f80   ---        --------
             194   N   00000f80   00000305   00000f84   ---        --------
             195   N   00000f84   0000bfcd   00000f86   x06_t1     00000f9c
             196   N   00000f86   00008082   00000f78   ---        --------
             200   N   00000f78   00038663   00000f7c   x07_t2     00000074
             201   N   00000f7c   00728023   00000f80   ---        --------
             203   N   00000f80   00000305   00000f84   ---        --------
             204   N   00000f84   0000bfcd   00000f86   x06_t1     00000f9d
             205   N   00000f86   00008082   00000f78   ---        --------
             209   N   00000f78   00038663   00000f7c   x07_t2     00000069
             210   N   00000f7c   00728023   00000f80   ---        --------
             212   N   00000f80   00000305   00000f84   ---        --------
             213   N   00000f84   0000bfcd   00000f86   x06_t1     00000f9e
             214   N   00000f86   00008082   00000f78   ---        --------
             218   N   00000f78   00038663   00000f7c   x07_t2     0000006f
             219   N   00000f7c   00728023   00000f80   ---        --------
             221   N   00000f80   00000305   00000f84   ---        --------
             222   N   00000f84   0000bfcd   00000f86   x06_t1     00000f9f
             223   N   00000f86   00008082   00000f78   ---        --------
             227   N   00000f78   00038663   00000f7c   x07_t2     0000006e
             228   N   00000f7c   00728023   00000f80   ---        --------
             230   N   00000f80   00000305   00000f84   ---        --------
             231   N   00000f84   0000bfcd   00000f86   x06_t1     00000fa0
             232   N   00000f86   00008082   00000f78   ---        --------
             236   N   00000f78   00038663   00000f7c   x07_t2     00000000
             237   N   00000f7c   00728023   00000f88   ---        --------
             240   N   00000f88   00000001   00000b20   ---        --------
             243   N   00000b20   6e070713   00000b24   x14_a4     00000b20
             244   N   00000b24   0000c311   00000b28   x14_a4     00001200
             245   N   00000b28   00008702   00000b2a   ---        --------
             246   N   00000b2a   34202773   00001200   ---        --------
             249   N   00001200   e55ff06f   00001240   ---        --------
             252   N   00001240   342022f3   00001244   x06_t1     00000002
             253   N   00001244   ea629ae3   00001248   x05_t0     00000002
             254   N   00001248   341022f3   0000124c   ---        --------
             255   N   0000124c   343023f3   00001250   x05_t0     00001004
             256   N   00001250   00038e63   00001254   x07_t2     00000000
             257   N   00001254   0002d303   00001270   ---        --------
             260   N   00001270   d9430313   00001274   x06_t1     00001270
             261   N   00001274   04628e63   00001278   x06_t1     00001004
             262   N   00001278   00000317   000012d4   ---        --------
             265   N   000012d4   34129073   000012d8   x05_t0     0000100c
             266   N   000012d8   30200073   000012dc   ---        --------
             268   N   000012dc   00200337   0000100c   ---        --------
             271   N   0000100c   80028293   00001010   x05_t0     00002000
             272   N   00001010   3002b073   00001014   x05_t0     00001800
             273   N   00001014   00001337   00001018   ---        --------
             274   N   00001018   00001337   00001018   ---        --------
